,sector,instrument,policy_country_iso_code,year
25,TransportSector,CodesStandards,15,2017
26,TransportSector,DirectInvestment,16,2017
27,TransportSector,FiscalFinancialIncentives,15,2017
28,TransportSector,Market-basedInstruments,6,2017
29,TransportSector,VoluntaryApproaches,5,2017
0,BuildingsSector,CodesStandards,16,2018
1,BuildingsSector,DirectInvestment,13,2018
2,BuildingsSector,FiscalFinancialIncentives,15,2018
3,BuildingsSector,Market-basedInstruments,6,2018
4,BuildingsSector,VoluntaryApproaches,10,2018
5,ElectricitySector,CodesStandards,14,2018
6,ElectricitySector,DirectInvestment,15,2018
7,ElectricitySector,FiscalFinancialIncentives,16,2018
8,ElectricitySector,Market-basedInstruments,11,2018
9,ElectricitySector,VoluntaryApproaches,6,2018
10,GeneralSector,CodesStandards,10,2018
11,GeneralSector,DirectInvestment,11,2018
12,GeneralSector,FiscalFinancialIncentives,10,2018
13,GeneralSector,Market-basedInstruments,8,2018
14,GeneralSector,VoluntaryApproaches,4,2018
15,IndustrySector,CodesStandards,14,2018
16,IndustrySector,DirectInvestment,12,2018
17,IndustrySector,FiscalFinancialIncentives,15,2018
18,IndustrySector,Market-basedInstruments,10,2018
19,IndustrySector,VoluntaryApproaches,12,2018
20,LandSector,CodesStandards,10,2018
21,LandSector,DirectInvestment,7,2018
22,LandSector,FiscalFinancialIncentives,14,2018
23,LandSector,Market-basedInstruments,6,2018
24,LandSector,VoluntaryApproaches,5,2018
25,TransportSector,CodesStandards,15,2018
26,TransportSector,DirectInvestment,16,2018
27,TransportSector,FiscalFinancialIncentives,16,2018
28,TransportSector,Market-basedInstruments,8,2018
29,TransportSector,VoluntaryApproaches,6,2018
0,BuildingsSector,CodesStandards,16,2019
1,BuildingsSector,DirectInvestment,14,2019
2,BuildingsSector,FiscalFinancialIncentives,16,2019
3,BuildingsSector,Market-basedInstruments,6,2019
4,BuildingsSector,VoluntaryApproaches,10,2019
5,ElectricitySector,CodesStandards,14,2019
6,ElectricitySector,DirectInvestment,15,2019
7,ElectricitySector,FiscalFinancialIncentives,16,2019
8,ElectricitySector,Market-basedInstruments,11,2019
9,ElectricitySector,VoluntaryApproaches,6,2019
10,GeneralSector,CodesStandards,10,2019
11,GeneralSector,DirectInvestment,11,2019
12,GeneralSector,FiscalFinancialIncentives,10,2019
13,GeneralSector,Market-basedInstruments,8,2019
14,GeneralSector,VoluntaryApproaches,4,2019
15,IndustrySector,CodesStandards,14,2019
16,IndustrySector,DirectInvestment,12,2019
17,IndustrySector,FiscalFinancialIncentives,16,2019
18,IndustrySector,Market-basedInstruments,10,2019
19,IndustrySector,VoluntaryApproaches,12,2019
20,LandSector,CodesStandards,11,2019
21,LandSector,DirectInvestment,7,2019
22,LandSector,FiscalFinancialIncentives,15,2019
23,LandSector,Market-basedInstruments,6,2019
24,LandSector,VoluntaryApproaches,5,2019
